,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,acs_2019_2,State,fmr_type,fmr_pct_chg,fmr_dollar_chg
0,2020,583,702,830,1047,1425,Autauga County,55035,825,AL,40,0.00606061,5
1,2020,744,749,916,1251,1566,Baldwin County,203360,888,AL,40,0.0315315,28
2,2020,477,481,633,789,925,Barbour County,26200,666,AL,40,-0.04955,-33
3,2020,804,861,986,1291,1425,Bibb County,22580,873,AL,40,0.129438717,113
4,2020,804,861,986,1291,1425,Blount County,57665,873,AL,40,0.129438717,113
5,2020,474,484,612,809,878,Bullock County,10480,628,AL,40,-0.025478,-16
6,2020,474,521,612,782,993,Butler County,20125,628,AL,40,-0.025478,-16
7,2020,468,531,700,910,1072,Calhoun County,115525,676,AL,40,0.035503,24
8,2020,486,593,683,887,977,Chambers County,33895,691,AL,40,-0.011577,-8
9,2020,462,465,612,826,829,Cherokee County,25855,628,AL,40,-0.025478,-16
10,2020,594,627,714,1030,1122,Chilton County,43805,628,AL,40,0.136942675,86
11,2020,466,469,618,770,844,Choctaw County,13190,663,AL,40,-0.067873303,-45
12,2020,474,507,612,883,980,Clarke County,24625,628,AL,40,-0.025478,-16
13,2020,482,538,612,882,1075,Clay County,13405,628,AL,40,-0.025478,-16
14,2020,462,465,612,863,1075,Cleburne County,14940,628,AL,40,-0.025478,-16
15,2020,515,541,665,959,1168,Coffee County,51075,680,AL,40,-0.022059,-15
16,2020,498,565,714,913,1191,Colbert County,54435,675,AL,40,0.0577778,39
17,2020,474,510,612,874,878,Conecuh County,12650,628,AL,40,-0.025478,-16
18,2020,499,503,662,825,949,Coosa County,10955,676,AL,40,-0.02071,-14
19,2020,474,489,612,818,1019,Covington County,37520,628,AL,40,-0.025478,-16
20,2020,462,465,612,763,904,Crenshaw County,13865,628,AL,40,-0.025478,-16
21,2020,469,525,645,871,874,Cullman County,81705,662,AL,40,-0.02568,-17
22,2020,498,501,612,829,1075,Dale County,49395,629,AL,40,-0.027027,-17
23,2020,489,503,618,783,837,Dallas County,40755,628,AL,40,-0.015924,-10
24,2020,462,465,612,818,884,DeKalb County,71195,646,AL,40,-0.052632,-34
25,2020,583,702,830,1047,1425,Elmore County,80990,825,AL,40,0.00606061,5
26,2020,474,538,612,815,903,Escambia County,37620,628,AL,40,-0.025478,-16
27,2020,523,527,693,877,985,Etowah County,103130,662,AL,40,0.0468278,31
28,2020,474,538,612,789,878,Fayette County,16655,628,AL,40,-0.025478,-16
29,2020,474,524,612,775,829,Franklin County,31505,628,AL,40,-0.025478,-16
30,2020,503,506,666,875,995,Geneva County,26570,682,AL,40,-0.02346,-16
31,2020,474,538,612,815,837,Greene County,8535,628,AL,40,-0.025478,-16
32,2020,719,737,885,1131,1199,Hale County,14995,847,AL,40,0.0448642,38
33,2020,479,520,612,815,1075,Henry County,17110,628,AL,40,-0.025478,-16
34,2020,503,506,666,875,995,Houston County,104110,682,AL,40,-0.02346,-16
35,2020,422,550,647,806,876,Jackson County,52325,681,AL,40,-0.049927,-34
36,2020,804,861,986,1291,1425,Jefferson County,659460,873,AL,40,0.129438717,113
37,2020,474,538,612,875,878,Lamar County,14020,628,AL,40,-0.025478,-16
38,2020,498,565,714,913,1191,Lauderdale County,92590,675,AL,40,0.0577778,39
39,2020,480,546,687,889,950,Lawrence County,33290,681,AL,40,0.0088106,6
40,2020,564,623,811,1066,1242,Lee County,156595,814,AL,40,-0.0036855,-3
41,2020,567,660,782,1040,1373,Limestone County,91695,809,AL,40,-0.033375,-27
42,2020,583,702,830,1047,1425,Lowndes County,10360,825,AL,40,0.00606061,5
43,2020,480,484,637,794,1115,Macon County,19360,628,AL,40,0.0143312,9
44,2020,567,660,782,1040,1373,Madison County,353215,809,AL,40,-0.033375,-27
