,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,State
0,2021,640,766,908,1148,1520,Autauga County,55035,AL
1,2021,718,723,922,1249,1584,Baldwin County,203360,AL
2,2021,488,492,648,806,907,Barbour County,26200,AL
3,2021,817,871,1002,1303,1409,Bibb County,22580,AL
4,2021,817,871,1002,1303,1409,Blount County,57665,AL
5,2021,532,549,705,877,1034,Bullock County,10480,AL
6,2021,479,556,634,789,930,Butler County,20125,AL
7,2021,482,549,723,944,1094,Calhoun County,115525,AL
8,2021,534,620,744,956,1046,Chambers County,33895,AL
9,2021,479,481,634,877,880,Cherokee County,25855,AL
10,2021,595,625,713,1020,1061,Chilton County,43805,AL
11,2021,479,481,634,789,910,Choctaw County,13190,AL
12,2021,479,493,634,907,930,Clarke County,24625,AL
13,2021,479,556,634,868,1060,Clay County,13405,AL
14,2021,479,481,634,892,968,Cleburne County,14940,AL
15,2021,522,551,692,990,1184,Coffee County,51075,AL
16,2021,525,580,748,943,1213,Colbert County,54435,AL
17,2021,479,532,634,907,930,Conecuh County,12650,AL
18,2021,520,523,689,857,1011,Coosa County,10955,AL
19,2021,479,499,634,846,1044,Covington County,37520,AL
20,2021,479,481,634,789,930,Crenshaw County,13865,AL
21,2021,494,541,665,898,902,Cullman County,81705,AL
22,2021,523,526,634,890,1098,Dale County,49395,AL
23,2021,492,498,646,804,876,Dallas County,40755,AL
24,2021,418,492,634,852,936,DeKalb County,71195,AL
25,2021,640,766,908,1148,1520,Elmore County,80990,AL
26,2021,479,537,634,809,991,Escambia County,37620,AL
27,2021,557,560,717,902,1002,Etowah County,103130,AL
28,2021,479,556,634,802,930,Fayette County,16655,AL
29,2021,479,539,634,796,1043,Franklin County,31505,AL
30,2021,543,547,706,923,1057,Geneva County,26570,AL
31,2021,479,556,634,840,860,Greene County,8535,AL
32,2021,691,695,839,1061,1138,Hale County,14995,AL
33,2021,492,532,634,858,1098,Henry County,17110,AL
