,State,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Population,acs_2019_2,fmr_type,fmr_pct_chg,fmr_dollar_chg,acs_2017_2
0,AK,2021,850.97,951.28,1200.14,1582.72,1815.38,25467.93,,,,,
1,AL,2021,548.28,591.99,725.82,949.51,1094.63,72399.63,,,,,
2,AR,2021,515.95,553.85,697.31,920.29,1065.15,39706.0,,,,,
3,AS,2021,590.0,594.0,783.0,1121.0,1201.0,55519.0,,,,,
4,AZ,2021,698.13,767.93,970.13,1340.2,1493.53,453995.67,,,,,
5,CA,2021,1061.22,1204.81,1525.86,2103.29,2437.24,672118.19,,,,,
6,CO,2021,813.66,867.86,1088.31,1463.31,1699.22,84945.62,,,,,
7,CT,2021,910.39,1079.43,1347.6,1701.49,2004.27,21269.02,,,,,
8,DC,2021,1513.0,1548.0,1765.0,2263.0,2742.0,672390.0,,,,,
9,DE,2021,806.33,893.33,1097.0,1466.33,1695.67,314576.67,,,,,
10,FL,2021,771.01,835.19,1021.28,1357.61,1609.72,302663.51,,,,,
11,GA,2021,631.99,658.4,792.7,1041.26,1228.91,64161.19,,,,,
12,GU,2021,975.0,1068.0,1408.0,2015.0,2438.0,159358.0,,,,,
13,HI,2021,1259.8,1405.4,1797.6,2479.8,2860.6,284332.0,,,,,
14,IA,2021,540.67,593.13,759.59,1004.93,1115.38,31495.81,,,,,
15,ID,2021,592.59,640.57,821.43,1146.09,1341.27,37667.73,,,,,
16,IL,2021,570.9,638.09,801.46,1050.0,1181.43,126024.75,,,,,
17,IN,2021,565.4,634.8,800.66,1047.91,1193.68,71895.92,,,,,
18,KS,2021,563.03,592.66,756.75,994.91,1129.71,27655.05,,,,,
19,KY,2021,527.16,582.07,733.27,972.33,1099.49,36869.58,,,,,
20,LA,2021,633.95,693.34,844.09,1103.67,1260.27,72866.56,,,,,
21,MA,2021,1183.78,1314.82,1642.08,2057.79,2276.96,19342.65,,,,,
22,MD,2021,932.21,1035.92,1256.38,1659.62,1958.04,249836.25,,,,,
23,ME,2021,665.32,723.77,909.05,1170.87,1354.85,2495.55,,,,,
24,MI,2021,578.58,646.96,815.1,1066.64,1182.18,119585.06,,,,,
25,MN,2021,580.21,662.83,842.22,1145.7,1304.34,63111.9,,,,,
26,MO,2021,513.15,569.54,729.39,968.39,1107.24,52381.93,,,,,
27,MP,2021,509.0,586.0,772.0,1105.0,1337.0,53883.0,,,,,
