fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,metro_code,areaname,county,cousub,countyname,county_town_name,pop2017,state_alpha,metro
0100199999,640,766,908,1148,1520,1,METRO33860M33860,"Montgomery, AL MSA",1,99999,Autauga County,Autauga County,55035,AL,1
0100399999,718,723,922,1249,1584,1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",3,99999,Baldwin County,Baldwin County,203360,AL,1
0100599999,488,492,648,806,907,1,NCNTY01005N01005,"Barbour County, AL",5,99999,Barbour County,Barbour County,26200,AL,0
0100799999,817,871,1002,1303,1409,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",7,99999,Bibb County,Bibb County,22580,AL,1
0100999999,817,871,1002,1303,1409,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",9,99999,Blount County,Blount County,57665,AL,1
0101199999,532,549,705,877,1034,1,NCNTY01011N01011,"Bullock County, AL",11,99999,Bullock County,Bullock County,10480,AL,0
0101399999,479,556,634,789,930,1,NCNTY01013N01013,"Butler County, AL",13,99999,Butler County,Butler County,20125,AL,0
0101599999,482,549,723,944,1094,1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",15,99999,Calhoun County,Calhoun County,115525,AL,1
0101799999,534,620,744,956,1046,1,NCNTY01017N01017,"Chambers County, AL",17,99999,Chambers County,Chambers County,33895,AL,0
0101999999,479,481,634,877,880,1,NCNTY01019N01019,"Cherokee County, AL",19,99999,Cherokee County,Cherokee County,25855,AL,0
0102199999,595,625,713,1020,1061,1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",21,99999,Chilton County,Chilton County,43805,AL,1
0102399999,479,481,634,789,910,1,NCNTY01023N01023,"Choctaw County, AL",23,99999,Choctaw County,Choctaw County,13190,AL,0
0102599999,479,493,634,907,930,1,NCNTY01025N01025,"Clarke County, AL",25,99999,Clarke County,Clarke County,24625,AL,0
0102799999,479,556,634,868,1060,1,NCNTY01027N01027,"Clay County, AL",27,99999,Clay County,Clay County,13405,AL,0
0102999999,479,481,634,892,968,1,NCNTY01029N01029,"Cleburne County, AL",29,99999,Cleburne County,Cleburne County,14940,AL,0
0103199999,522,551,692,990,1184,1,NCNTY01031N01031,"Coffee County, AL",31,99999,Coffee County,Coffee County,51075,AL,0
0103399999,525,580,748,943,1213,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",33,99999,Colbert County,Colbert County,54435,AL,1
0103599999,479,532,634,907,930,1,NCNTY01035N01035,"Conecuh County, AL",35,99999,Conecuh County,Conecuh County,12650,AL,0
0103799999,520,523,689,857,1011,1,NCNTY01037N01037,"Coosa County, AL",37,99999,Coosa County,Coosa County,10955,AL,0
0103999999,479,499,634,846,1044,1,NCNTY01039N01039,"Covington County, AL",39,99999,Covington County,Covington County,37520,AL,0
0104199999,479,481,634,789,930,1,NCNTY01041N01041,"Crenshaw County, AL",41,99999,Crenshaw County,Crenshaw County,13865,AL,0
0104399999,494,541,665,898,902,1,NCNTY01043N01043,"Cullman County, AL",43,99999,Cullman County,Cullman County,81705,AL,0
