fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,metro_code,areaname,countyname,county_town_name,pop2017,state_alpha,metro
0100199999,643,764,914,1156,1494,01,METRO33860M33860,"Montgomery, AL MSA",Autauga County,,55035,AL,1
0100399999,772,777,1017,1348,1715,01,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,,203360,AL,1
0100599999,532,536,705,871,980,01,NCNTY01005N01005,"Barbour County, AL",Barbour County,,26200,AL,0
0100799999,765,820,943,1220,1316,01,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,,22580,AL,1
0100999999,765,820,943,1220,1316,01,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,,57665,AL,1
0101199999,589,602,783,968,1158,01,NCNTY01011N01011,"Bullock County, AL",Bullock County,,10480,AL,0
0101399999,530,619,705,871,1043,01,NCNTY01013N01013,"Butler County, AL",Butler County,,20125,AL,0
0101599999,562,565,744,988,1111,01,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,,115525,AL,1
0101799999,655,659,861,1074,1168,01,NCNTY01017N01017,"Chambers County, AL",Chambers County,,33895,AL,0
0101999999,530,536,705,982,1006,01,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,,25855,AL,0
0102199999,583,619,705,978,982,01,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,,43805,AL,1
0102399999,530,536,705,871,1182,01,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,,13190,AL,0
0102599999,530,550,705,1001,1207,01,NCNTY01025N01025,"Clarke County, AL",Clarke County,,24625,AL,0
0102799999,495,609,705,961,1120,01,NCNTY01027N01027,"Clay County, AL",Clay County,,13405,AL,0
0102999999,530,564,705,974,1043,01,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,,14940,AL,0
0103199999,546,586,727,1033,1154,01,NCNTY01031N01031,"Coffee County, AL",Coffee County,,51075,AL,0
0103399999,525,575,751,935,1173,01,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Colbert County,,54435,AL,1
0103599999,530,619,705,982,1043,01,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,,12650,AL,0
0103799999,550,563,732,905,1083,01,NCNTY01037N01037,"Coosa County, AL",Coosa County,,10955,AL,0
0103999999,530,536,705,929,1145,01,NCNTY01039N01039,"Covington County, AL",Covington County,,37520,AL,0
0104199999,530,536,705,871,1043,01,NCNTY01041N01041,"Crenshaw County, AL",Crenshaw County,,13865,AL,0
0104399999,559,607,747,1009,1013,01,NCNTY01043N01043,"Cullman County, AL",Cullman County,,81705,AL,0
0104599999,595,599,705,1001,1207,01,NCNTY01045N01045,"Dale County, AL",Dale County,,49395,AL,0
0104799999,529,561,738,912,1001,01,NCNTY01047N01047,"Dallas County, AL",Dallas County,,40755,AL,0
0104999999,468,555,705,953,1054,01,NCNTY01049N01049,"DeKalb County, AL",DeKalb County,,71195,AL,0
0105199999,643,764,914,1156,1494,01,METRO33860M33860,"Montgomery, AL MSA",Elmore County,,80990,AL,1
