,ZIP,City,State
0,87120,Albuquerque, NM
1,87121,Albuquerque, NM
2,87124,Albuquerque, NM
3,87109,Albuquerque, NM
4,87108,Albuquerque, NM
5,87110,Albuquerque, NM
6,87144,Albuquerque, NM
7,87106,Albuquerque, NM
8,87102,Albuquerque, NM
9,18103,Allentown, PA
10,18104,Allentown, PA
11,18042,Allentown, PA
12,7840,Allentown, PA
13,18015,Allentown, PA
14,18062,Allentown, PA
15,30349,Atlanta, GA
16,30044,Atlanta, GA
17,30043,Atlanta, GA
18,30096,Atlanta, GA
19,30024,Atlanta, GA
20,30281,Atlanta, GA
21,30040,Atlanta, GA
22,30318,Atlanta, GA
23,30188,Atlanta, GA
24,30052,Atlanta, GA
25,30041,Atlanta, GA
26,30080,Atlanta, GA
27,30062,Atlanta, GA
28,30331,Atlanta, GA
29,30022,Atlanta, GA
30,30004,Atlanta, GA
31,30127,Atlanta, GA
32,30253,Atlanta, GA
33,30135,Atlanta, GA
34,30066,Atlanta, GA
35,30101,Atlanta, GA
36,30058,Atlanta, GA
37,30083,Atlanta, GA
38,30047,Atlanta, GA
39,30075,Atlanta, GA
40,30067,Atlanta, GA
41,30114,Atlanta, GA
42,30144,Atlanta, GA
43,30319,Atlanta, GA
44,30016,Atlanta, GA
45,30236,Atlanta, GA
46,30309,Atlanta, GA
47,30032,Atlanta, GA
48,30064,Atlanta, GA
49,30328,Atlanta, GA
50,30093,Atlanta, GA
51,30518,Atlanta, GA
52,30324,Atlanta, GA
53,30034,Atlanta, GA
54,30097,Atlanta, GA
55,30339,Atlanta, GA
56,30519,Atlanta, GA
57,30350,Atlanta, GA
58,30228,Atlanta, GA
59,30120,Atlanta, GA
60,30039,Atlanta, GA
61,30680,Atlanta, GA
62,30115,Atlanta, GA
63,30126,Atlanta, GA
64,30134,Atlanta, GA
65,30038,Atlanta, GA
66,30316,Atlanta, GA
67,30252,Atlanta, GA
68,30019,Atlanta, GA
69,30152,Atlanta, GA
70,30213,Atlanta, GA
71,30305,Atlanta, GA
72,30102,Atlanta, GA
73,30338,Atlanta, GA
74,30294,Atlanta, GA
75,30311,Atlanta, GA
76,30269,Atlanta, GA
77,30092,Atlanta, GA
78,30180,Atlanta, GA
79,30033,Atlanta, GA
80,30344,Atlanta, GA
81,30189,Atlanta, GA
82,30087,Atlanta, GA
83,30238,Atlanta, GA
84,30329,Atlanta, GA
85,30014,Atlanta, GA
86,30046,Atlanta, GA
87,30341,Atlanta, GA
88,30117,Atlanta, GA
89,30308,Atlanta, GA
90,30060,Atlanta, GA
91,30030,Atlanta, GA
92,30315,Atlanta, GA
93,30265,Atlanta, GA
94,30005,Atlanta, GA
95,30312,Atlanta, GA
96,30078,Atlanta, GA
97,30274,Atlanta, GA
98,30310,Atlanta, GA
99,30214,Atlanta, GA
100,30045,Atlanta, GA
101,30306,Atlanta, GA
102,30082,Atlanta, GA
103,30013,Atlanta, GA
104,30012,Atlanta, GA
105,30296,Atlanta, GA
106,30088,Atlanta, GA
107,30327,Atlanta, GA
108,30248,Atlanta, GA
109,30307,Atlanta, GA
110,30291,Atlanta, GA
111,30121,Atlanta, GA
112,30009,Atlanta, GA
113,30106,Atlanta, GA
114,30314,Atlanta, GA
115,30326,Atlanta, GA
116,30909,Augusta, GA
117,30907,Augusta, GA
118,30809,Augusta, GA
119,30813,Augusta, GA
120,30904,Augusta, GA
121,78613,Austin, TX
122,78704,Austin, TX
123,78666,Austin, TX
124,78745,Austin, TX
125,78641,Austin, TX
126,78748,Austin, TX
127,78758,Austin, TX
128,78741,Austin, TX
129,78664,Austin, TX
130,78753,Austin, TX
131,78759,Austin, TX
132,78640,Austin, TX
133,78665,Austin, TX
134,78681,Austin, TX
135,78744,Austin, TX
136,78723,Austin, TX
137,78749,Austin, TX
138,78628,Austin, TX
139,78729,Austin, TX
140,78717,Austin, TX
141,78727,Austin, TX
142,78731,Austin, TX
143,78626,Austin, TX
144,78705,Austin, TX
145,78634,Austin, TX
146,78728,Austin, TX
147,78746,Austin, TX
148,78703,Austin, TX
149,78750,Austin, TX
150,78702,Austin, TX
151,78757,Austin, TX
152,78751,Austin, TX
153,78752,Austin, TX
154,78724,Austin, TX
155,78701,Austin, TX
156,78732,Austin, TX
157,78756,Austin, TX
158,78721,Austin, TX
159,93309,Bakersfield, CA
160,21234,Baltimore, MD
161,21117,Baltimore, MD
162,21215,Baltimore, MD
163,21122,Baltimore, MD
164,21222,Baltimore, MD
165,21224,Baltimore, MD
166,21061,Baltimore, MD
167,21218,Baltimore, MD
168,21206,Baltimore, MD
169,21228,Baltimore, MD
170,21229,Baltimore, MD
171,21044,Baltimore, MD
172,21043,Baltimore, MD
173,21220,Baltimore, MD
174,21230,Baltimore, MD
175,21093,Baltimore, MD
176,21045,Baltimore, MD
177,21060,Baltimore, MD
178,21042,Baltimore, MD
179,21113,Baltimore, MD
180,21157,Baltimore, MD
181,21403,Baltimore, MD
182,21217,Baltimore, MD
183,21136,Baltimore, MD
184,21227,Baltimore, MD
185,21239,Baltimore, MD
186,21144,Baltimore, MD
187,21212,Baltimore, MD
188,21237,Baltimore, MD
189,21009,Baltimore, MD
190,21075,Baltimore, MD
191,21225,Baltimore, MD
192,21209,Baltimore, MD
193,21213,Baltimore, MD
194,21202,Baltimore, MD
195,21114,Baltimore, MD
196,21286,Baltimore, MD
197,21223,Baltimore, MD
198,21211,Baltimore, MD
199,21231,Baltimore, MD
200,21076,Baltimore, MD
201,35242,Birmingham, AL
202,35244,Birmingham, AL
203,35205,Birmingham, AL
204,83646,Boise City, ID
205,83642,Boise City, ID
206,83686,Boise City, ID
207,83704,Boise City, ID
208,83706,Boise City, ID
209,83705,Boise City, ID
210,83605,Boise City, ID
211,83616,Boise City, ID
212,83687,Boise City, ID
213,83651,Boise City, ID
214,83702,Boise City, ID
215,83714,Boise City, ID
216,83634,Boise City, ID
217,83703,Boise City, ID
218,2148,Boston, MA
219,2360,Boston, MA
220,2155,Boston, MA
221,2301,Boston, MA
222,2135,Boston, MA
223,2151,Boston, MA
224,2124,Boston, MA
225,1752,Boston, MA
226,2127,Boston, MA
227,2130,Boston, MA
228,2472,Boston, MA
229,2139,Boston, MA
230,2138,Boston, MA
231,1852,Boston, MA
232,3820,Boston, MA
233,1702,Boston, MA
234,2446,Boston, MA
235,3038,Boston, MA
236,2118,Boston, MA
237,1810,Boston, MA
238,2150,Boston, MA
239,2062,Boston, MA
240,2125,Boston, MA
241,2474,Boston, MA
242,2116,Boston, MA
243,2132,Boston, MA
244,1923,Boston, MA
245,2143,Boston, MA
246,2115,Boston, MA
247,2215,Boston, MA
248,2144,Boston, MA
249,2134,Boston, MA
250,2140,Boston, MA
251,2121,Boston, MA
252,2122,Boston, MA
253,2171,Boston, MA
254,2445,Boston, MA
255,2114,Boston, MA
256,2141,Boston, MA
257,2120,Boston, MA
258,2111,Boston, MA
259,2113,Boston, MA
260,2210,Boston, MA
261,2109,Boston, MA
262,80504,Boulder, CO
263,80302,Boulder, CO
264,80305,Boulder, CO
265,14228,Buffalo, NY
266,29464,Charleston, SC
267,29445,Charleston, SC
268,29485,Charleston, SC
269,29483,Charleston, SC
270,29414,Charleston, SC
271,29412,Charleston, SC
272,29407,Charleston, SC
273,29461,Charleston, SC
274,29466,Charleston, SC
275,29486,Charleston, SC
276,29456,Charleston, SC
277,29406,Charleston, SC
278,29405,Charleston, SC
279,29418,Charleston, SC
280,29403,Charleston, SC
281,29420,Charleston, SC
282,29492,Charleston, SC
283,29401,Charleston, SC
284,28269,Charlotte, NC
285,28277,Charlotte, NC
286,28027,Charlotte, NC
287,28078,Charlotte, NC
288,28205,Charlotte, NC
289,28216,Charlotte, NC
290,28215,Charlotte, NC
291,28227,Charlotte, NC
292,28210,Charlotte, NC
293,28025,Charlotte, NC
294,28173,Charlotte, NC
295,28117,Charlotte, NC
296,28262,Charlotte, NC
297,28110,Charlotte, NC
298,28226,Charlotte, NC
299,28213,Charlotte, NC
300,28105,Charlotte, NC
301,28212,Charlotte, NC
302,28115,Charlotte, NC
303,28273,Charlotte, NC
304,28208,Charlotte, NC
305,28214,Charlotte, NC
306,28031,Charlotte, NC
307,28079,Charlotte, NC
308,28052,Charlotte, NC
309,28211,Charlotte, NC
310,28056,Charlotte, NC
311,29707,Charlotte, NC
312,28209,Charlotte, NC
313,28278,Charlotte, NC
314,28104,Charlotte, NC
315,28217,Charlotte, NC
316,28081,Charlotte, NC
317,28203,Charlotte, NC
318,28202,Charlotte, NC
319,28036,Charlotte, NC
320,28207,Charlotte, NC
321,60657,Chicago, IL
322,60614,Chicago, IL
323,60640,Chicago, IL
324,60647,Chicago, IL
325,60618,Chicago, IL
326,60613,Chicago, IL
327,60625,Chicago, IL
328,60610,Chicago, IL
329,60619,Chicago, IL
330,60611,Chicago, IL
331,60617,Chicago, IL
332,60620,Chicago, IL
333,60016,Chicago, IL
334,60628,Chicago, IL
335,60649,Chicago, IL
336,60626,Chicago, IL
337,60622,Chicago, IL
338,60616,Chicago, IL
339,60615,Chicago, IL
340,60641,Chicago, IL
341,60660,Chicago, IL
342,60085,Chicago, IL
343,60637,Chicago, IL
344,60608,Chicago, IL
345,60148,Chicago, IL
346,60004,Chicago, IL
347,60402,Chicago, IL
348,60073,Chicago, IL
349,60411,Chicago, IL
350,60201,Chicago, IL
351,60605,Chicago, IL
352,60014,Chicago, IL
353,60126,Chicago, IL
354,60010,Chicago, IL
355,60089,Chicago, IL
356,60062,Chicago, IL
357,60645,Chicago, IL
358,60654,Chicago, IL
359,60067,Chicago, IL
360,60651,Chicago, IL
361,60193,Chicago, IL
362,60188,Chicago, IL
363,60707,Chicago, IL
364,60120,Chicago, IL
365,60025,Chicago, IL
366,60563,Chicago, IL
367,60540,Chicago, IL
368,60653,Chicago, IL
369,60090,Chicago, IL
370,60031,Chicago, IL
371,60302,Chicago, IL
372,60068,Chicago, IL
373,60074,Chicago, IL
374,60607,Chicago, IL
375,60564,Chicago, IL
376,60030,Chicago, IL
377,60504,Chicago, IL
378,60202,Chicago, IL
379,60586,Chicago, IL
380,60612,Chicago, IL
381,60007,Chicago, IL
382,60565,Chicago, IL
383,60107,Chicago, IL
384,60543,Chicago, IL
385,60659,Chicago, IL
